FILE,NOMBRE,UNIDAD_DE_COMPETENCIA,CONTENIDO
ISC/probabilidadEstadistica_ISC2020.pdf,"UNIDAD TEMÁTICA I 
Elementos de probabilidad","UNIDAD DE COMPETENCIA 
 
Resuelve problemas que 
involucren fenómenos aleatorios 
con base en los fundamentos de 
la probabilidad.","1
  1
  1
1.1 Generalidades 
1.1.1 Modelos probabilísticos y determinísticos 
1.1.2 Espacio de muestras y eventos 
1.1.3 Interpretación de la probabilidad 
 
1.2 Elementos de análisis combinatorio 
1.2.1 Permutaciones 
1.2.2 Combinaciones 
 
1.3 Axiomas de probabilidad 
.4 Probabilidad condicional 
.5 Eventos independientes y la Regla de 
multiplicación 
.6 Regla de Bayes"
ISC/probabilidadEstadistica_ISC2020.pdf,"UNIDAD TEMÁTICA II 
Variables aleatorias discretas y 
continuas","UNIDAD DE COMPETENCIA 
 
Obtiene el valor esperado y la 
varianza de situaciones 
propuestas a partir de variables 
aleatorias discretas y continuas.","2
  2
2.1 Variables aleatorias discretas y continuas 
2.1.1 Función masa de probabilidad 
2.1.2 Función acumulativa de probabilidad 
 
2.2. Valor esperado de variables aleatorias discretas y 
continuas 
.3 Función generadora de momentos de una variable 
aleatoria discreta 
.4 Varianza de variables aleatorias discretas y 
continuas"
ISC/probabilidadEstadistica_ISC2020.pdf,"UNIDAD TEMÁTICA III 
Distribuciones de probabilidad 
para variables discretas y 
continuas","S
 
UNIDAD DE COMPETENCIA 
oluciona 
problemáticas 
con 
base 
en 
las 
distribuciones 
probabilísticas más conocidas.","3.1 Distribuciones de probabilidad para variables 
aleatorias discretas 
3.1.1 Ensayos de Bernoulli 
3.1.2 Distribuciones Binomial y Geométrica 
3.1.3 Distribuciones Hipergeométrica y de Poisson 
3.1.4. Aproximación entre las distribuciones 
Binomial y Poisson 
 
3.2 Distribuciones de probabilidad para variables 
aleatorias continuas 
3.2.1 Distribución Exponencial y Gamma 
3.2.2. Distribución normal  (Estandarización y 
cálculo de probabilidades utilizando las 
tablas normales Aproximación Normal a la 
Binomial)"
ISC/probabilidadEstadistica_ISC2020.pdf,"UNIDAD TEMÁTICA IV 
Distribución de varias variables 
aleatorias","R
 
UNIDAD DE COMPETENCIA 
esuelve problemas de eventos 
probabilísticos a partir de 
distribuciones de varias 
variables.","4
  4
  4
  4
  4
  4
4.1 Densidad conjunta y marginal 
.2 Distribución conjunta y marginal 
.3 Cálculo de probabilidades para densidades de dos 
o más variables aleatorias 
.4  Distribución ji-cuadrada, t-Student y F 
.5 Suma de variables aleatorias 
.6 Independencia de dos o más variables aleatorias 
.7 Teorema de Límite Central"
ISC/probabilidadEstadistica_ISC2020.pdf,"UNIDAD TEMÁTICA V 
Estadística paramétrica 
usando estimación y prueba 
de hipótesis","UNIDAD DE COMPETENCIA 
 
Toma decisiones con base en 
la teoría de la estadística 
inferencial.","5
  5
  5
  5
  5
  5
5.1 Estimación de parámetros 
5.1.1 Estimación puntual 
5.1.2 Estimación por intervalo 
.2 Intervalos de confianza ( I de C ) 
.3 I de C, error estándar y tamaño de muestra 
.4 Prueba de Hipótesis 
5.4.1 Elección de la prueba 
5.4.2 Nivel de significancia 
.5 Errores tipo I ( alfa) y tipo II (beta) 
.6 Prueba de hipótesis para la media 
.7 Prueba de hipótesis para la varianza"
ISC/formulacionEvaluacionProyectosInformaticos.pdf,"UNIDAD TEMÁTICA I 
Aspectos  generales  de  un 
proyecto 
y  el  análisis  del 
entorno","I
UNIDAD DE 
COMPETENCIA 
dentifica 
los 
aspectos 
generales  de  la  formulación 
de  proyectos  informáticos  a 
partir  del  planteamiento  del 
problema.","1
  1
1.1 Proyectos  
1.1.1 Clasificación  
1.1.2 Proyecto informático 
1.1.3 Elementos de un proyecto  
  
1.2 Ciclo de vida de los proyectos y del software  
.3 Formulación de un proyecto informático 
1.3.1 Planteamiento del problema y técnicas de análisis   
1.3.2 Antecedentes y situación actual  
1.3.3 Identificación y selección de alternativas 
.4 Gestión de la integración del proyecto informático"
ISC/formulacionEvaluacionProyectosInformaticos.pdf,"UNIDAD TEMÁTICA II 
Innovación y la gestión del 
mercado","UNIDAD DE 
COMPETENCIA 
 
Formula 
un 
estudio 
de 
mercado 
con 
base 
en 
la 
metodología Design thinking.","2
2.1 Innovación  
.2 Design thinking metodología de innovación   
2.1.1 Empatizar con el usuario y explorar el mercado  
2.1.2 Definir necesidades del usuario 
2.1.3 Idear con propuesta de valor  
2.1.4 Prototipar la idea  
2.1.5 Testeo (validar)   
 
2.3 Modelo de negocios Canvas"
ISC/formulacionEvaluacionProyectosInformaticos.pdf,"UNIDAD TEMÁTICA III 
Gestión técnica y ambiental 
del proyecto","UNIDAD DE 
COMPETENCIA 
 
Formula la estructura técnica 
y ambiental del proyecto con 
base en su metodología, plan 
desarrollo y sostenibilidad.","3
3.1 Plan de gestión para la dirección del proyecto    
3.1.1 Gestión de Integración del proyecto  
3.1.2 Gestión del conocimiento 
   
3.2 Plan de desarrollo del software  
3.2.1  Actividades  para  el  análisis  de 
requerimientos  y 
diseño de la arquitectura del software  
3.2.2 Actividades para la programación 
3.2.3 Actividades para las pruebas e implementación  
3.2.4 Actividades para el despliegue y mantenimiento 
3.2.5 Documentación   
.3 Gestión de sostenibilidad"
ISC/formulacionEvaluacionProyectosInformaticos.pdf,"UNIDAD TEMÁTICA IV 
Gestión del presupuesto del 
proyecto","UNIDAD DE 
COMPETENCIA 
 
Formula 
los 
presupuestos 
requeridos en el proyecto con 
base 
en 
la 
inversión, 
ingresos, egresos y ventas.","4.1 Presupuesto de inversión  
4.1.1 Inversión propia  
4.1.2 Inversión financiada  
    
4.2 Presupuestos de egresos   
4.2.1 Costos de desarrollo   
4.2.2 Gastos de venta  
4.2.3 Gastos de administración  
4.2.4 Gastos financieros  
4.2.5 Otros gastos a ponderar  
  
4.3 Presupuesto de ventas o ingresos"
ISC/formulacionEvaluacionProyectosInformaticos.pdf,"UNIDAD TEMÁTICA V 
Evaluación Financiera del 
proyecto","UNIDAD DE 
COMPETENCIA 
 
Evalúa 
el 
proyecto 
informático  con  base  en  los 
indicadores 
financieros  y 
la 
matriz de análisis integral.","5
  5
5.1 Integración de estados financieros proforma     
5.1.1 Estado de resultados 
  
5.2 Cálculo de los flujos netos de efectivo  
.3 Indicadores financieros de evaluación de proyectos 
informáticos  
5.3.1 Retorno de la inversión (ROI) 
5.3.2 Costo beneficio  
5.3.3 Valor presente neto (VPN) y Tasa interna de retorno 
(TIR) 
.4 Matriz de análisis integral para la toma de decisiones"
